STATE,SU_ID,n_obs,econ1_n,econ1_corr,econ1_slope,econ1_r2,econ2_n,econ2_corr,econ2_slope,econ2_r2
NY,0024319181,1,0,,,,0,,,
NY,0024342061,1,0,,,,0,,,
NY,0024353392,1,0,,,,0,,,
NY,0024359074,1,0,,,,0,,,
NY,0024364733,1,0,,,,0,,,
NY,0024373076,1,0,,,,0,,,
NY,0024390158,1,0,,,,0,,,
NY,0024397548,1,0,,,,0,,,
NY,0024430781,1,0,,,,0,,,
NY,0024436044,1,0,,,,0,,,
NY,0024441722,1,0,,,,0,,,
NY,0024442245,1,0,,,,0,,,
NY,0024448625,1,0,,,,0,,,
NY,0024465648,1,0,,,,0,,,
NY,0024480063,1,0,,,,0,,,
NY,0024489578,1,0,,,,0,,,
NY,0024515262,1,0,,,,0,,,
NY,0024520602,1,0,,,,0,,,
NY,0024521142,1,0,,,,0,,,
NY,0024525418,1,0,,,,0,,,
NY,0024537998,1,0,,,,0,,,
NY,0024539837,1,0,,,,0,,,
NY,0024559691,1,0,,,,0,,,
NY,0024570245,1,0,,,,0,,,
NY,0024599593,1,0,,,,0,,,
NY,0024603488,1,0,,,,0,,,
NY,0024608475,1,0,,,,0,,,
NY,0024627158,1,0,,,,0,,,
NY,0024630642,1,0,,,,0,,,
NY,0024632130,1,0,,,,0,,,
NY,0024669542,1,0,,,,0,,,
NY,0024670666,1,0,,,,0,,,
NY,0024672749,1,0,,,,0,,,
NY,0024679946,1,0,,,,0,,,
NY,0024687547,1,0,,,,0,,,
NY,0024695919,1,0,,,,0,,,
NY,0024702115,1,0,,,,0,,,
NY,0024716635,1,0,,,,0,,,
NY,0024734073,1,0,,,,0,,,
NY,0024737301,1,0,,,,0,,,
NY,0024737826,1,0,,,,0,,,
NY,0024759555,1,0,,,,0,,,
NY,0024759854,1,0,,,,0,,,
NY,0024767625,1,0,,,,0,,,
NY,0024779773,1,0,,,,0,,,
NY,0024786916,1,0,,,,0,,,
NY,0024788747,1,0,,,,0,,,
NY,0024796986,1,0,,,,0,,,
NY,0024808024,1,0,,,,0,,,
NY,0024819323,1,0,,,,0,,,
NY,0024819604,1,0,,,,0,,,
NY,0024822402,1,0,,,,0,,,
NY,0024874580,1,0,,,,0,,,
NY,0024885076,1,0,,,,0,,,
NY,0024896196,1,0,,,,0,,,
NY,0024904984,1,0,,,,0,,,
NY,0024935012,1,0,,,,0,,,
NY,0024964216,1,0,,,,0,,,
NY,0024968248,1,0,,,,0,,,
NY,0024972671,1,0,,,,0,,,
NY,0024990307,1,0,,,,0,,,
NY,0025006170,1,0,,,,0,,,
NY,0025008217,1,0,,,,0,,,
NY,0025014460,1,0,,,,0,,,
NY,0025043380,1,0,,,,0,,,
NY,0025043783,1,0,,,,0,,,
NY,0025073048,1,0,,,,0,,,
NY,0025088820,1,0,,,,0,,,
NY,0025102669,1,0,,,,0,,,
NY,0025102775,1,0,,,,0,,,
NY,0025128877,1,0,,,,0,,,
NY,0025129613,1,0,,,,0,,,
NY,0025135400,1,0,,,,0,,,
NY,0025150446,1,0,,,,0,,,
NY,0025160302,1,0,,,,0,,,
NY,0025167582,1,0,,,,0,,,
NY,0025176537,1,0,,,,0,,,
NY,0025187757,1,0,,,,0,,,
NY,0025203826,1,0,,,,0,,,
NY,0025216149,1,0,,,,0,,,
NY,0025224118,1,0,,,,0,,,
NY,0025230832,1,0,,,,0,,,
NY,0025236999,1,0,,,,0,,,
NY,0025259641,1,0,,,,0,,,
NY,0025263251,1,0,,,,0,,,
NY,0025274453,1,0,,,,0,,,
NY,0025284257,1,0,,,,0,,,
NY,0025289450,1,0,,,,0,,,
NY,0025291035,1,0,,,,0,,,
NY,0025295105,1,0,,,,0,,,
NY,0025301934,1,0,,,,0,,,
NY,0025308584,1,0,,,,0,,,
NY,0025312277,1,0,,,,0,,,
NY,0025314744,1,0,,,,0,,,
NY,0025337794,1,0,,,,0,,,
NY,0025358319,1,0,,,,0,,,
NY,0025390398,1,0,,,,0,,,
NY,0025391190,1,0,,,,0,,,
NY,0025395866,1,0,,,,0,,,
NY,0025399681,1,0,,,,0,,,
NY,0025412724,1,0,,,,0,,,
NY,0025430465,1,0,,,,0,,,
NY,0025440706,1,0,,,,0,,,
NY,0025441664,1,0,,,,0,,,
NY,0025459338,1,0,,,,0,,,
NY,0025459590,1,0,,,,0,,,
NY,0025463383,1,0,,,,0,,,
NY,0025465360,1,0,,,,0,,,
NY,0025473520,1,0,,,,0,,,
NY,0025477090,1,0,,,,0,,,
NY,0025489669,1,0,,,,0,,,
NY,0025499611,1,0,,,,0,,,
NY,0025501111,1,0,,,,0,,,
NY,0025512151,1,0,,,,0,,,
NY,0025525813,1,0,,,,0,,,
NY,0025533696,1,0,,,,0,,,
NY,0025534253,1,0,,,,0,,,
NY,0025546816,1,0,,,,0,,,
NY,0025559967,1,0,,,,0,,,
